Region,Medal_Females,Medal_Males,Medal_Total,Percent_Female,Percent_Male,GDP,GDPpC,WPS Index rank,WPS Index value
Argentina,2.0,20.0,22.0,9.09,90.91,589.286,13694.3,48.0,0.775
Australia,41.0,44.0,85.0,48.24,51.76,1431.429,60014.9,22.0,0.8440000000000001
Austria,9.0,20.0,29.0,31.03,68.97,418.857,48222.9,6.0,0.884
Azerbaijan,4.0,14.0,18.0,22.22,77.78,56.833,5944.6,123.0,0.65
Bahrain,2.0,0.0,2.0,100.0,0.0,33.657,23793.9,83.0,0.7190000000000001
Belarus,12.0,6.0,18.0,66.67,33.33,62.656,6640.3,38.0,0.804
Belgium,2.0,19.0,21.0,9.52,90.48,505.429,44784.9,27.0,0.8270000000000001
Brazil,7.0,43.0,50.0,14.0,86.0,2131.429,10443.7,98.0,0.7
Bulgaria,7.0,0.0,7.0,100.0,0.0,56.579,7868.9,39.0,0.8009999999999999
Burundi,1.0,0.0,1.0,100.0,0.0,3.011,275.9,139.0,0.616
Canada,101.0,54.0,155.0,65.16,34.84,1704.286,47377.1,11.0,0.8759999999999999
China,80.0,45.0,125.0,64.0,36.0,11277.143,7754.9,76.0,0.725
Colombia,4.0,4.0,8.0,50.0,50.0,336.0,7063.1,104.0,0.691
Croatia,3.0,22.0,25.0,12.0,88.0,55.662,13161.9,32.0,0.818
Czech Republic,11.0,15.0,26.0,42.31,57.69,209.571,19754.0,30.0,0.82
Denmark,14.0,27.0,41.0,34.15,65.85,332.143,58413.6,3.0,0.8909999999999999
Egypt,2.0,1.0,3.0,66.67,33.33,273.143,2921.4,151.0,0.583
Ethiopia,5.0,3.0,8.0,62.5,37.5,62.176,610.6,121.0,0.6509999999999999
Finland,8.0,26.0,34.0,23.53,76.47,258.714,47259.4,3.0,0.8909999999999999
France,31.0,83.0,114.0,27.19,72.81,2660.0,40013.9,20.0,0.847
Germany,82.0,113.0,195.0,42.05,57.95,3655.714,44622.9,17.0,0.856
Greece,3.0,4.0,7.0,42.86,57.14,219.571,20584.9,51.0,0.77
