CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Afghanistan,292,251,240,168,124,179,166,156,148,135,170,168,190,208,226,258,284,383,388,443,551,637,685,670,639,599,572,593,552
8,Albania,653,487,467,532,598,769,1033,718,821,1032,1115,1255,1393,1784,2312,2609,2904,3519,4290,4051,4046,4402,4228,4400,4567,3939,4109,4516,5224
12,Algeria,2397,1764,1817,1840,1500,1459,1600,1616,1592,1585,1761,1751,1784,2103,2610,3113,3479,3951,4924,3883,4481,5456,5592,5500,5493,4178,3946,4044,4115
20,Andorra,23886,24714,25999,20900,20542,23359,24064,23224,23908,24372,21937,22229,24743,32775,38505,41281,43745,48580,47787,43336,39734,41103,38393,40629,42299,36041,37223,39231,42052
24,Angola,1153,1321,1468,1030,1026,476,606,688,561,519,745,705,872,983,1256,1902,2600,3122,4081,3123,3588,4615,5100,5255,5408,4167,3506,4096,3437
660,Anguilla,8496,8508,9050,9702,10634,10515,10827,11809,12976,13426,13327,13454,13387,14147,16445,18398,22452,27609,27124,21308,19938,21470,20305,20195,22060,23148,21978,19281,19891
28,Antigua and Barbuda,7348,7602,7744,8136,8771,8407,9031,9492,9940,10261,10871,10367,10401,10799,11449,12557,13998,15623,16044,14160,13049,12746,13272,12910,13502,14286,15198,15383,16727
32,Argentina,4696,6215,7394,7553,8118,8031,8371,8905,8988,8430,8358,7816,2935,3687,4311,5158,5966,7302,9123,8309,10429,12830,13925,14535,13299,14971,12814,14628,11688
51,Armenia,651,600,364,348,383,426,538,558,649,637,664,741,835,992,1271,1753,2301,3348,4277,3193,3432,3760,3682,3838,3986,3607,3592,3915,4212
533,Aruba,13770,15100,15716,16712,18173,17229,17380,18785,19995,20283,21608,21661,21413,21833,23649,24419,25165,27038,28346,25777,24607,26149,25864,26190,26647,27980,28281,29006,30262
36,Australia,19092,19174,18737,18027,20371,21736,23890,23738,20960,22704,21524,20324,22430,28456,34122,37710,39863,47099,49550,46657,58654,68626,69451,66361,62054,52182,54062,57601,58393
40,Austria,21552,22359,24910,24122,25612,30169,29592,26489,27143,26975,24389,24369,26233,32007,36622,38282,40551,46751,51586,47792,46599,50999,48155,50264,51304,43995,45183,47429,51230
31,Azerbaijan,900,909,709,550,445,396,404,500,557,569,649,696,753,870,1027,1551,2431,3788,5538,4963,5857,7211,7521,7902,7915,5516,3889,4151,4718
44,Bahamas,18607,17951,17601,17178,17791,18433,20644,22037,23514,26130,27098,27486,28867,28327,28396,30278,30714,31472,30627,28552,28444,28006,29486,28768,29445,31406,31589,31828,32218
48,Bahrain,9899,10196,10385,11090,11664,12040,12199,12296,11403,11912,13636,12868,13050,14222,15847,17959,19308,20977,23067,19356,20722,22514,23654,24744,24989,22689,22632,23715,24134
50,Bangladesh,273,285,284,287,299,329,338,343,348,358,356,349,356,383,408,414,497,560,635,700,776,827,854,1005,1120,1245,1395,1538,1671
52,Barbados,7874,7782,7494,7875,8247,8637,9172,9653,10838,11310,11609,11549,11706,12055,12891,14242,15199,16771,17092,15886,16056,16459,16250,16452,16488,16525,16900,17392,17746
112,Belarus,1919,1955,1807,1714,1550,1421,1492,1456,1578,1264,1091,1302,1548,1904,2488,3266,4015,4937,6644,5393,6075,6560,6975,8015,8356,5981,5052,5791,6312
56,Belgium,20520,20968,23297,22208,24113,28276,27350,24717,25253,25173,22973,22923,24812,30461,35167,36557,38410,43963,47802,44320,43968,47453,44760,46767,47649,40942,41927,44156,47293
84,Belize,2394,2507,2667,2833,2880,2996,3002,2953,2992,3066,3364,3404,3526,3650,3802,3883,4154,4252,4404,4187,4271,4423,4506,4569,4706,4776,4818,4888,4885
204,Benin,400,392,428,419,284,397,419,390,410,404,374,379,419,519,583,602,626,706,820,793,758,826,834,911,931,799,789,829,907
