Year,Overall rank,Country or region,Happiness Score,GDP per capita
2019,1,Finland,7.769,1.34
2019,2,Denmark,7.6,1.383
2019,3,Norway,7.554,1.488
2019,4,Iceland,7.494,1.38
2019,5,Netherlands,7.488,1.396
2019,6,Switzerland,7.48,1.452
2019,7,Sweden,7.343,1.387
2019,8,New Zealand,7.307,1.303
2019,9,Canada,7.278,1.365
2019,10,Austria,7.246,1.376
2019,11,Australia,7.228,1.372
2019,12,Costa Rica,7.167,1.034
2019,13,Israel,7.139,1.276
2019,14,Luxembourg,7.09,1.609
2019,15,United Kingdom,7.054,1.333
2019,16,Ireland,7.021,1.499
2019,17,Germany,6.985,1.373
2019,18,Belgium,6.923,1.356
2019,19,United States of America,6.892,1.433
2019,20,Czech Republic,6.852,1.269
2019,21,United Arab Emirates,6.825,1.503
2019,22,Malta,6.726,1.3
2019,23,Mexico,6.595,1.07
2019,24,France,6.592,1.324
2019,25,Taiwan,6.446,1.368
2019,26,Chile,6.444,1.159
2019,27,Guatemala,6.436,0.8
2019,28,Saudi Arabia,6.375,1.403
2019,29,Qatar,6.374,1.684
2019,30,Spain,6.354,1.286
2019,31,Panama,6.321,1.149
2019,32,Brazil,6.3,1.004
2019,33,Uruguay,6.293,1.124
2019,34,Singapore,6.262,1.572
2019,35,El Salvador,6.253,0.794
2019,36,Italy,6.223,1.294
2019,37,Bahrain,6.199,1.362
2019,38,Slovakia,6.198,1.246
2019,39,Trinidad & Tobago,6.192,1.231
2019,40,Poland,6.182,1.206
2019,41,Uzbekistan,6.174,0.745
2019,42,Lithuania,6.149,1.238
2019,43,Colombia,6.125,0.985
2019,44,Slovenia,6.118,1.258
2019,45,Nicaragua,6.105,0.694
2019,46,Kosovo,6.1,0.882
2019,47,Argentina,6.086,1.092
2019,48,Romania,6.07,1.162
2019,49,Cyprus,6.046,1.263
2019,50,Ecuador,6.028,0.912
2019,51,Kuwait,6.021,1.5
2019,52,Thailand,6.008,1.05
2019,53,Latvia,5.94,1.187
2019,54,South Korea,5.895,1.301
2019,55,Estonia,5.893,1.237
2019,56,Jamaica,5.89,0.831
2019,57,Mauritius,5.888,1.12
2019,58,Japan,5.886,1.327
2019,59,Honduras,5.86,0.642
2019,60,Kazakhstan,5.809,1.173
2019,61,Bolivia,5.779,0.776
2019,62,Hungary,5.758,1.201
2019,63,Paraguay,5.743,0.855
2019,64,Northern Cyprus,5.718,1.263
2019,65,Peru,5.697,0.96
2019,66,Portugal,5.693,1.221
2019,67,Pakistan,5.653,0.677
2019,68,Russia,5.648,1.183
2019,69,Philippines,5.631,0.807
2019,70,Serbia,5.603,1.004
2019,71,Moldova,5.529,0.685
2019,72,Libya,5.525,1.044
2019,73,Montenegro,5.523,1.051
2019,74,Tajikistan,5.467,0.493
2019,75,Croatia,5.432,1.155
2019,76,Hong Kong,5.43,1.438
2019,77,Dominican Republic,5.425,1.015
2019,78,Bosnia and Herzegovina,5.386,0.945
2019,79,Turkey,5.373,1.183
2019,80,Malaysia,5.339,1.221
2019,81,Belarus,5.323,1.067
2019,82,Greece,5.287,1.181
2019,83,Mongolia,5.285,0.948
2019,84,North Macedonia,5.274,0.983
2019,85,Nigeria,5.265,0.696
2019,86,Kyrgyzstan,5.261,0.551
2019,87,Turkmenistan,5.247,1.052
2019,88,Algeria,5.211,1.002
2019,89,Morocco,5.208,0.801
2019,90,Azerbaijan,5.208,1.043
2019,91,Lebanon,5.197,0.987
2019,92,Indonesia,5.192,0.931
2019,93,China,5.191,1.029
2019,94,Vietnam,5.175,0.741
2019,95,Bhutan,5.082,0.813
2019,96,Cameroon,5.044,0.549
2019,97,Bulgaria,5.011,1.092
2019,98,Ghana,4.996,0.611
2019,99,Ivory Coast,4.944,0.569
2019,100,Nepal,4.913,0.446
2019,101,Jordan,4.906,0.837
2019,102,Benin,4.883,0.393
2019,103,Congo (Brazzaville),4.812,0.673
2019,104,Gabon,4.799,1.057
2019,105,Laos,4.796,0.764
2019,106,South Africa,4.722,0.96
2019,107,Albania,4.719,0.947
2019,108,Venezuela,4.707,0.96
2019,109,Cambodia,4.7,0.574
2019,110,Palestinian Territories,4.696,0.657
2019,111,Senegal,4.681,0.45
2019,112,Somalia,4.668,0
2019,113,Namibia,4.639,0.879
2019,114,Niger,4.628,0.138
2019,115,Burkina Faso,4.587,0.331
2019,116,Armenia,4.559,0.85
2019,117,Iran,4.548,1.1
2019,118,Guinea,4.534,0.38
2019,119,Georgia,4.519,0.886
2019,120,Gambia,4.516,0.308
2019,121,Kenya,4.509,0.512
2019,122,Mauritania,4.49,0.57
2019,123,Mozambique,4.466,0.204
2019,124,Tunisia,4.461,0.921
2019,125,Bangladesh,4.456,0.562
2019,126,Iraq,4.437,1.043
2019,127,Congo (Kinshasa),4.418,0.094
2019,128,Mali,4.39,0.385
2019,129,Sierra Leone,4.374,0.268
2019,130,Sri Lanka,4.366,0.949
2019,131,Myanmar,4.36,0.71
2019,132,Chad,4.35,0.35
2019,133,Ukraine,4.332,0.82
2019,134,Ethiopia,4.286,0.336
2019,135,Swaziland,4.212,0.811
2019,136,Uganda,4.189,0.332
2019,137,Egypt,4.166,0.913
2019,138,Zambia,4.107,0.578
2019,139,Togo,4.085,0.275
2019,140,India,4.015,0.755
2019,141,Liberia,3.975,0.073
2019,142,Comoros,3.973,0.274
2019,143,Madagascar,3.933,0.274
2019,144,Lesotho,3.802,0.489
2019,145,Burundi,3.775,0.046
2019,146,Zimbabwe,3.663,0.366
2019,147,Haiti,3.597,0.323
2019,148,Botswana,3.488,1.041
2019,149,Syria,3.462,0.619
2019,150,Malawi,3.41,0.191
2019,151,Yemen,3.38,0.287
2019,152,Rwanda,3.334,0.359
2019,153,Tanzania,3.231,0.476
2019,154,Afghanistan,3.203,0.35
2019,155,Central African Republic,3.083,0.026
2019,156,South Sudan,2.853,0.306
2018,1,Finland,7.632,1.305
2018,2,Norway,7.594,1.456
2018,3,Denmark,7.555,1.351
2018,4,Iceland,7.495,1.343
2018,5,Switzerland,7.487,1.42
2018,6,Netherlands,7.441,1.361
2018,7,Canada,7.328,1.33
2018,8,New Zealand,7.324,1.268
2018,9,Sweden,7.314,1.355
2018,10,Australia,7.272,1.34
2018,11,United Kingdom,7.19,1.244
2018,12,Austria,7.139,1.341
2018,13,Costa Rica,7.072,1.01
2018,14,Ireland,6.977,1.448
2018,15,Germany,6.965,1.34
2018,16,Belgium,6.927,1.324
2018,17,Luxembourg,6.91,1.576
2018,18,United States,6.886,1.398
2018,19,Israel,6.814,1.301
2018,20,United Arab Emirates,6.774,2.096
2018,21,Czech Republic,6.711,1.233
2018,22,Malta,6.627,1.27
2018,23,France,6.489,1.293
2018,24,Mexico,6.488,1.038
2018,25,Chile,6.476,1.131
2018,26,Taiwan,6.441,1.365
2018,27,Panama,6.43,1.112
2018,28,Brazil,6.419,0.986
2018,29,Argentina,6.388,1.073
2018,30,Guatemala,6.382,0.781
2018,31,Uruguay,6.379,1.093
2018,32,Qatar,6.374,1.649
2018,33,Saudi Arabia,6.371,1.379
2018,34,Singapore,6.343,1.529
2018,35,Malaysia,6.322,1.161
2018,36,Spain,6.31,1.251
2018,37,Colombia,6.26,0.96
2018,38,Trinidad & Tobago,6.192,1.223
2018,39,Slovakia,6.173,1.21
2018,40,El Salvador,6.167,0.806
2018,41,Nicaragua,6.141,0.668
2018,42,Poland,6.123,1.176
2018,43,Bahrain,6.105,1.338
2018,44,Uzbekistan,6.096,0.719
2018,45,Kuwait,6.083,1.474
2018,46,Thailand,6.072,1.016
2018,47,Italy,6,1.264
2018,48,Ecuador,5.973,0.889
2018,49,Belize,5.956,0.807
2018,50,Lithuania,5.952,1.197
2018,51,Slovenia,5.948,1.219
2018,52,Romania,5.945,1.116
2018,53,Latvia,5.933,1.148
2018,54,Japan,5.915,1.294
2018,55,Mauritius,5.891,1.09
2018,56,Jamaica,5.89,0.819
2018,57,South Korea,5.875,1.266
2018,58,Northern Cyprus,5.835,1.229
2018,59,Russia,5.81,1.151
2018,60,Kazakhstan,5.79,1.143
2018,61,Cyprus,5.762,1.229
2018,62,Bolivia,5.752,0.751
2018,63,Estonia,5.739,1.2
2018,64,Paraguay,5.681,0.835
2018,65,Peru,5.663,0.934
2018,66,Kosovo,5.662,0.855
2018,67,Moldova,5.64,0.657
2018,68,Turkmenistan,5.636,1.016
2018,69,Hungary,5.62,1.171
2018,70,Libya,5.566,0.985
2018,71,Philippines,5.524,0.775
2018,72,Honduras,5.504,0.62
2018,73,Belarus,5.483,1.039
2018,74,Turkey,5.483,1.148
2018,75,Pakistan,5.472,0.652
2018,76,Hong Kong,5.43,1.405
2018,77,Portugal,5.41,1.188
2018,78,Serbia,5.398,0.975
2018,79,Greece,5.358,1.154
2018,80,Lebanon,5.358,0.965
2018,81,Montenegro,5.347,1.017
2018,82,Croatia,5.321,1.115
2018,83,Dominican Republic,5.302,0.982
2018,84,Algeria,5.295,0.979
2018,85,Morocco,5.254,0.779
2018,86,China,5.246,0.989
2018,87,Azerbaijan,5.201,1.024
