regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,F,3.22,3.39,3.58,3.78,3.99,4.2,4.43,4.66,4.91,5.16,5.43,5.71,6,6.31,6.62,6.95,7.29,7.65
Afghanistan,M,1.1,1.17,1.25,1.34,1.43,1.52,1.62,1.73,1.84,1.96,2.09,2.22,2.36,2.52,2.68,2.85,3.03,3.22
Angola,F,5.34,5.63,5.94,6.25,6.58,6.93,7.29,7.66,8.04,8.44,8.85,9.27,9.7,10.15,10.61,11.09,11.57,12.07
Angola,M,1.32,1.41,1.51,1.62,1.73,1.85,1.98,2.12,2.26,2.42,2.58,2.76,2.94,3.14,3.34,3.56,3.8,4.05
Albania,F,14.34,14.67,15.02,15.4,15.79,16.2,16.62,17.06,17.51,17.98,18.45,18.92,19.4,19.88,20.36,20.84,21.33,21.8
Albania,M,11.21,11.65,12.13,12.63,13.15,13.7,14.27,14.86,15.47,16.11,16.75,17.42,18.09,18.77,19.46,20.16,20.86,21.57
Andorra,F,23.61,23.76,23.89,24.02,24.14,24.25,24.36,24.46,24.55,24.64,24.72,24.8,24.89,24.97,25.05,25.14,25.24,25.34
Andorra,M,20.22,20.58,20.93,21.28,21.62,21.95,22.29,22.61,22.94,23.26,23.57,23.89,24.21,24.52,24.85,25.17,25.51,25.86
United Arab Emirates,F,32.22,32.68,33.16,33.66,34.17,34.68,35.21,35.73,36.25,36.78,37.32,37.85,38.39,38.92,39.45,39.98,40.51,41.04
United Arab Emirates,M,17.18,17.66,18.17,18.7,19.25,19.81,20.39,20.98,21.58,22.2,22.83,23.47,24.12,24.78,25.44,26.12,26.81,27.51
Argentina,F,21.75,22.14,22.54,22.94,23.34,23.75,24.16,24.58,25,25.43,25.86,26.29,26.73,27.17,27.62,28.06,28.51,28.97
Argentina,M,18.63,19.09,19.56,20.04,20.52,21.01,21.51,22.01,22.52,23.03,23.55,24.08,24.61,25.14,25.68,26.23,26.78,27.34
Armenia,F,16.48,16.76,17.05,17.37,17.69,18.04,18.39,18.77,19.15,19.54,19.95,20.36,20.78,21.22,21.66,22.1,22.56,23.03
Armenia,M,10.59,10.86,11.15,11.46,11.77,12.11,12.45,12.81,13.19,13.57,13.97,14.38,14.8,15.23,15.67,16.12,16.58,17.07
Antigua and Barbuda,F,17.78,18.2,18.63,19.06,19.49,19.93,20.37,20.81,21.26,21.72,22.19,22.67,23.17,23.68,24.21,24.75,25.31,25.9
Antigua and Barbuda,M,6.6,6.85,7.09,7.34,7.59,7.84,8.1,8.36,8.63,8.9,9.19,9.48,9.79,10.12,10.47,10.83,11.21,11.62
Australia,F,19.95,20.45,20.96,21.47,21.98,22.48,22.98,23.47,23.96,24.45,24.94,25.42,25.91,26.39,26.89,27.38,27.88,28.38
